family,seed,variant,variant_label,country,contrast_country,topic,exact_pair,margin_switch,target_margin,contrast_margin
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Nigeria,United Kingdom,Education,0.0,0.0,-1.4715687266939987,1.4715687266939987
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Canada,United States,Geography and infrastructure,0.0,0.0,-0.6648562249451437,0.6648562249451437
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United Kingdom,United States,Education,0.0,0.0,1.9445729602742148,-1.9445729602742148
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",United Kingdom,United States,Education,0.0,0.0,1.9742220016586742,-1.9742220016586742
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Malaysia,United Kingdom,Civic institutions,0.0,0.0,-1.3591698464061048,1.3591698464061048
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Pakistan,India,Geography and infrastructure,0.0,0.0,0.7602999912931114,-0.7602999912931114
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ghana,United Kingdom,Economy and business,0.0,0.0,0.9985644931137863,-0.9985644931137863
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Philippines,United States,Sports,0.0,0.0,-2.4945453264245088,2.4945453264245088
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Sri Lanka,India,Geography and infrastructure,0.0,0.0,-0.6558983973412316,0.6558983973412316
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Kenya,United Kingdom,Politics and government,0.0,0.0,0.48430832610824925,-0.48430832610824925
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",India,United Kingdom,Politics and government,0.0,0.0,1.8570842885996637,-1.8570842885996637
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ireland,United Kingdom,Politics and government,0.0,0.0,-6.119524773842867,6.119524773842867
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Pakistan,India,Economy and business,0.0,0.0,0.807455150325552,-0.807455150325552
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",India,United Kingdom,Public life and holidays,0.0,0.0,-0.3106849716162907,0.3106849716162907
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Nigeria,United Kingdom,Politics and government,0.0,0.0,-1.707739098782442,1.707739098782442
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Kenya,United Kingdom,Politics and government,0.0,0.0,0.1798122494514356,-0.1798122494514356
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",India,United Kingdom,Politics and government,0.0,0.0,1.0210292025943284,-1.0210292025943284
