model_path,test_set_path,mean_ppl,ci_low,ci_high,skipped_samples,ci_level,ci_method,split,max_samples,seed,bootstrap_iters
/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined_only_url_country/with_metadata/,10.045446,9.697742,10.362676,0,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,12.136876,11.724901,12.532737,8,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,13.642994,13.188117,14.089714,8,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,10.546584,10.228697,10.898374,15,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,11.822939,11.415994,12.222513,14,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,9.393199,9.08655,9.696752,6,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_with_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,10.472981,10.133416,10.818117,6,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,13.00144,12.539926,13.44098,0,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step2k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,13.093821,12.626606,13.542012,0,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,11.262546,10.887891,11.628396,3,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,11.350801,10.965613,11.720725,3,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined/with_metadata/,10.057344,9.707009,10.373854,0,0.95,bootstrap,test,1000,42,1000
/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step8k,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,10.11385,9.759313,10.437952,0,0.95,bootstrap,test,1000,42,1000
