plot,meta,step,continent,test_scope,test_path,model_a,model_b,n_samples,mean_nll_a,mean_nll_b,mean_ppl_a,mean_ppl_b,delta_nll,delta_nll_ci_low,delta_nll_ci_high,delta_ppl,delta_ppl_ci_low,delta_ppl_ci_high,p_value,status
plot7,without_metadata,4000,africa,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_africa_without_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,1000,2.472875887098592,2.421308976598852,11.856495811034842,11.26058952020279,0.0515669104997393,0.0328985655988063,0.0702278297904235,0.5959062908320512,0.3778830510527983,0.8137549284833565,0.0,ok
plot7,without_metadata,4000,america,left_out,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_america_without_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,1000,2.69676002318297,2.474660862977254,14.831599754380136,11.877678269527552,0.2220991602057154,0.2064300058197295,0.2396015210428883,2.953921484852584,2.750901582555923,3.1802796775693727,0.0,ok
plot7,without_metadata,4000,america,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_america_without_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,1000,2.47108550717363,2.421308976598852,11.835287170381894,11.26058952020279,0.0497765305747779,0.0392039530285937,0.0607552744591147,0.5746976501791039,0.4503893329399734,0.7060176929009607,0.0,ok
plot7,without_metadata,4000,asia,left_out,/path/to/metacul/training_data/meco_datasets/continents/asia/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_asia_without_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,1000,2.681065050336441,2.3815974391861823,14.600635429510762,10.822176832552858,0.2994676111502592,0.2780100678216015,0.322990447650937,3.778458596957904,3.5226289242165545,4.046854429516532,0.0,ok
plot7,without_metadata,4000,asia,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_asia_without_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,1000,2.4775569458739075,2.421308976598852,11.912126869338692,11.26058952020279,0.0562479692750552,0.0427351177098272,0.0701950708061644,0.6515373491359018,0.4945602104643952,0.8140524579177821,0.0,ok
plot7,without_metadata,4000,europe,left_out,/path/to/metacul/training_data/meco_datasets/continents/europe/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_europe_without_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,1000,2.778454513786302,2.396590931446388,16.094128463824337,10.985661598246194,0.3818635823399137,0.3568475053998462,0.4074727681698024,5.1084668655781424,4.794775659511591,5.431965533820078,0.0,ok
plot7,without_metadata,4000,europe,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_europe_without_metadata_1b_step4k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step4k,1000,2.5161636231802005,2.421308976598852,12.381007227307428,11.26058952020279,0.0948546465813482,0.078681251777103,0.1116084750086847,1.1204177071046375,0.9208576934054414,1.3272505425343148,0.0,ok
plot7,without_metadata,8000,africa,left_out,/path/to/metacul/training_data/meco_datasets/continents/africa/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_africa_without_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step8k,1000,2.6203554349190505,2.1833090896501446,13.74060660862562,8.875627966527302,0.4370463452689059,0.4125060701125642,0.4617127576059914,4.8649786420983165,4.582539593007676,5.146269255013262,0.0,ok
plot7,without_metadata,8000,africa,all,/path/to/metacul/training_data/meco_datasets/combined/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_africa_without_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step8k,1000,2.359678486314248,2.313912129098912,10.587546863936916,10.11391429878859,0.0457663572153363,0.025129662076336,0.0653825580785717,0.4736325651483266,0.2605189130958995,0.675912229552902,0.0,ok
plot7,without_metadata,8000,america,left_out,/path/to/metacul/training_data/meco_datasets/continents/america/without_metadata/,/path/to/metacul/models/ablation_intermediates/leave_one_out/combined_no_america_without_metadata_1b_step8k,/path/to/metacul/models/ablation_intermediates/metadata/combined_without_metadata_1b_step8k,1000,2.609403223973394,2.3617408429375497,13.590937685410353,10.609404692908097,0.2476623810358442,0.2312787948258187,0.2651839695490046,2.981532992502258,2.782757731790091,3.186967881298081,0.0,ok
